Character	Modern (Beijing) reading	Preclassic Old Chinese	Classic Old Chinese	Western Han Chinese	Eastern Han Chinese	Early Postclassic Chinese	Middle Postclassic Chinese	Late Postclassic Chinese	Middle Chinese	English meaning	Russian meaning[s]	Comments	Sino-Tibetan etymology	Dialectal data	Radical	Four-angle index	Karlgren code	Go-on	Kan-on	Japanese reading	Vietnamese reading	Jianchuan Bai	Dali Bai	Bijiang Bai	Shijing occurrences	Fanqie	Rhyme class	Shuowen gloss
偲	sī									be forceful, strong	偲偲 требовательный к себе и другим; [sāi] бородатый, усатый				9	8390	0973 f											
偈	jié	grat	grat	grat	grat	get	get	get	get	robust [LZ]	с силой, сильно, напролом; [jí] будд. гимн; псалом	Also read *kat, MC kǝt id.; in Shijing used as a loan for 朅 *khrat q.v.			9	4287	0313 p											
偍															0	0	0866 m											
偁	chēng										тот ( арх. )*				9	9999	0894 d-f											
偊	yǔ	w(h)aʔ	w(h)á	w(h)á	w(h)á	w(h)ó	w(h)ó	w(h)ó	ɦǘ	cirscumspect [LZ]					0	0	0099 d											
偅															0	0	1188 b											
偟	huáng										1) свободное время, досуг, вм. 遑; 2) бродить, вм. 徨				9	325	0708 e											
偫															0	0	0961 |k ́											
剫															0	0	0801 c											
剭	wū									perhaps: to brand (as punishment)					0	0	1204 b											
剬	duān	tōr	tōn	tōn	tōn	tōn	tōn	tōn	twân	cut [LZ]		Also read *torʔ, MC ćwén, Pek. zhuǎn id.			0	0	0168 e											
剮	guǎ	kʷrājʔ	kwrā́j	kwrā́j	kwrǟ́	kwạ̄́	kwạ̄́	kwạ̄́	kʷạ́	cut the meat from the bone, bare a skeleton [L.Zhou]	1) четвертовать; 2) резать на куски	The 'knife' radical is a later addition.			18	2855	0018 a.											
勖	xù	sm(h)ok	(s)m̥ok	(s)m̥ok	m̥ok	hwok	hwok	hwok	xöuk	to exert oneself					0	0	1217 a								28.4			
匭	guǐ									box, chest	ящик; урна ( для бюллетеней )				22	810												
啵	bo														0	0												
啶	ding														0	0												
唼	zā										есть, клевать ( о водяных птицах ); [shà] 1) изъесть ( о червях, насекомых ); 2) просеивать, отбирать ( напр. песок ); 3) пропускать воздух ( об автокамере ); 4) плескаться ( о водяных птицах ); [qiè] 唼佞 лесть; льстивый				30	8795												
啍	tūn									perhaps: be rumbling, thundering (of carriages)					0	0	0464 t											
啐	cui														0	0	0490 e											
唪	feng														0	0	1197 |d ́											
唶	jiè										междометие изумления*				30	9999	0798 v											
唵	ǎn	ʔǝ̄mʔ	ʔǝ̄́m	ʔǝ̄́m	ʔǝ̄́m	ʔǝ̄́m	ʔǝ̄́m	ʔǝ̄́m	ʔл́m	hold in the mouth			Sino-Tibetan etymology		0	0												
唰	zhuó										гогот*				30	9999												
啅	zhuó										гогот*				30	9999												
唲															0	0	0873 e											
啥	shá sá										что?, какой?, вм. 甚麼				30	1309												
啎	wǔ										сопротивляться, выступать против, вм. 捂				30	1219												
圊	qīng										отхожее место; свинарник				31	1853												
圇	lún										囫圇 целиком, весь; цельный				31	1855												
埶	yì	ŋets	ŋeć	ŋjaś	ŋjaś	ŋjeś	ŋjèj	ŋjèj	ŋjèj	to sow, plant, cultivate		= 蓺 q.v. Also read (LZ) *sŋets = 勢 q. v.			0	0	0330 a-d											
埴	zhí	dhǝk	dhǝk	dhǝk	ʒhǝk	ʒhɨk	ʒhɨk	ʒhɨk	ʒ́ik	clay, clayey	1) клейкая глина; 2) керамика, гончарная работа	Also read *thǝk-s, MC ćhɨ̀ id.	Sino-Tibetan etymology		32	739	0919 c											
堀	ku														0	0												
埭	dai														0	0												
埽	sǎo	sūʔ	sū́	sǝ̄́w	sǝ̄́w	sǝ̄́w	sā́w	sā́w	sấw	See 掃.	1) см. 掃; 2) прокладка из бамбука (дерева), набитая землей ( материал для укрепления плотины )				32	3887	1087 f											
埸	yì	lek	lek	lek	źek	źek	jek	jek	jek	raised borders between fields, balks					0	0	0850 g	yaku	eki	eki;yaku;sakai;aze								
堋	pèng	pǝ̄ŋs	pǝ̄ŋh	pǝ̄ŋh	pǝ̄ŋh	pǝ̄̀ŋ	pǝ̄̀ŋ	pǝ̄̀ŋ	pл̀ŋ	to bury		Modern p- is irregular (bèng would be expected).	Sino-Tibetan etymology		0	0												
埳															0	0	0672 e											
埏	shan														0	0												
堇	jǐn									violet (Viola verecunda)	1) клейкая глина; 2) трудолюбивый; 3) искренний, вм. 勤; 4) только, вм. 僅				32	414	0480 e-i											
埡	ya														0	0												
