Character	Modern (Beijing) reading	Preclassic Old Chinese	Classic Old Chinese	Western Han Chinese	Eastern Han Chinese	Early Postclassic Chinese	Middle Postclassic Chinese	Late Postclassic Chinese	Middle Chinese	English meaning	Russian meaning[s]	Comments	Sino-Tibetan etymology	Dialectal data	Radical	Four-angle index	Karlgren code	Go-on	Kan-on	Japanese reading	Vietnamese reading	Jianchuan Bai	Dali Bai	Bijiang Bai	Shijing occurrences	Fanqie	Rhyme class	Shuowen gloss
斗	dǒu	tōʔ	tṓ	twā́	twā́	tṓw	tǝ̄̀w	tǝ̄̀w	tʌ́w	ladle, dipper	1) доу ( мера сыпучих тел и объема, равная 10 шэн или 10,35 литра ); 2) ковш, черпалка; 3) Ковш, созвездие Большой Медведицы; 4) обр. большой, с меру величиной; маленький, с пятачок	Also read *toʔ, MC ćǘ, Pek. zhǔ id. Used later to denote a measure used for dry goods. Regular Sino-Viet. is  d_â`u.		Dialectal data	68	2650	0116 a				d_ấu	tɨ1	tɨ1					
斤	jīn	kǝr	kǝn	kǝn	kǝn	kɨn	kɨn	kɨn	kɨn	axe	1) цзинь ( китайский фунт, равный 0,6 кг ); 2) вес; весы; 3) топор, сечка; рубить; врубать(ся); 4) проникать, уяснять	Another Early Zhou reading attested is *kǝrs (MC kɨ̀n, Mand. jìn) in the  reduplication *kǝrs-kǝrs 'to be clear-sighted'.     Already in L. Zhou the graph occurs with the meaning 'balance, to weigh,  measure of weight'; it is not clear whether this meaning is in any way  related to the original meaning 'axe'.	Sino-Tibetan etymology	Dialectal data	69	1975	0443 a-c				cân	ćĩ4	će5	ćĩ4				
方	fāng	paŋ	paŋ	paŋ	pwaŋ	pwaŋ	pwaŋ	pwaŋ	pwaŋ	square, a regular thing, pattern; side; quarter, place, region, direction; just, just then, then, just now, now	1) страна света; сторона; направление; 2) квадрат; квадратный; мат. квадрат, вторая степень числа; 3) правильный, справедливый, беспристрастный, честный; нравственный; 4) местоположение; место; местный; древн. страна, государство; 5) метод, способ; прием; рецепт; 6) магия, колдовство; знахарство; 7) идти рядом; рядом, бок-о-бок; 8) противиться, не подчиняться; нарушать; 9) только тогда, только после этого; только что; только так, вм. 才; только-только, как раз; 10) Фан ( фамилия )	The original meaning (defined in Shuowen and attested in Shijing) is 'a square raft'. A related word is 膀 *pāŋ-s id. q. v.	Sino-Tibetan etymology	Dialectal data	70	4220	0740 a-f	hau	hau		phu'o'ng				9.1_, 9.2_, 9.3_, 12.2_, 29.3_, 29.4, 35.4, 38.1, 38.4, 50.1	夫央	陽	併船也. 象兩舟省總頭形. 凡方之屬皆從方. 方或從水.
日	rì	nit	nit	njǝt	ńǝt	ńit	ńit	ńit	ńit	sun; day	1) солнце; днем, засветло; 2) день; сутки; число, дата; ежедневно; с каждым днем; 3) в другой день, на днях; 4) сокр. Япония; 5) сокр. стар. Испания	Min forms: Xiamen ʒit 8 , lit 8 , Chaozhou zik 8 , Fuzhou nik 8 , Jianou ni 8 .	Sino-Tibetan etymology	Dialectal data	72	1470	0404 a-d	niti	zitu	nichi+;jitsu+;hi+;ka+	nhật	jĩ6	ńe6, ńi6	ńi6	26.5, 29.1, 29.2, 29.3, 29.4, 30.3, 33.3, 34.3, 37.1_, 38.1, 39.1, 50.1_	質	仁逸	實也. 太陽之精不虧. 從口一. 象形. 凡日之屬皆從日.
曰	yuē	wat	wat	wat	wat	wat	wǝt	wǝt	wǝt	to say; be called, is said	вэньянь говорить; молвить; называться; гласить; выполняет роль кавычек перед прямой речью или запятой при перечислении	For *w- cf. Fuzhou uak 8 , uok 8 , Jianou ua 6 .			73	1469	0304 a-d									欲掘	月	詞也. 從口. 乙聲. 亦象口气出也. 凡曰之屬皆從曰.
月	yuè	ŋot	ŋwat	ŋwat	ŋwat	ŋwat	ŋwǝt	ŋwǝt	ŋwǝt	moon; month	1) луна, месяц; полумесяц; полукруглый, в форме полумесяца; 2) месяц ( календарный ); луна ( месяц лунного календаря ); месячный; ежемесячный; 3) 6-е число ( в телеграммах ); 4) Юэ ( фамилия )	Min forms: Xiamen geʔ 8 , ŋeʔ 8 , Chaozhou gueʔ 8 , Fuzhou ŋuok 8 , Jianou ŋüɛ 8 .		Dialectal data	74	3466	0306 a-f				nguyệt	ŋua6	ua6	-ŋu4, ŋua6	26.5, 29.1, 29.2, 29.3, 29.4, 33.3	玉掘	月	闕也. 大陰之精. 象形. 凡月之屬皆從月.
木	mù	mhōk	mhōk	mhōk	mhōk	mhōk	mhōk	mhwōk	muk	tree	1) дерево; бревно; лесоматериал, древесина; деревянный, древесный; 2) астр. Юпитер; 3) негнущийся, негибкий; тупой; неспособный; 4) одеревенеть; онеметь; затечь, отняться; 5) деревянные музыкальные инструменты	Initial *mh- is suggested by Meixian muk 7 .	Sino-Tibetan etymology	Dialectal data	75	5139	1212 a-d				mộc	ŋü6-	ŋü6-	mo7-	2.1_, 9.1			冒也.冒地而生.東方之行.從え.下象其根.凡木之屬皆從木.
欠	qiàn	khams	khamh	khamh	khamh	khàm	khǝ̀m	khǝ̀m	khǝ̀m	yawn [L.Zhou]	1) недоставать, нехватать; недостаток; недостаточный; не, без; 2) задолжать; быть в долгу; задолженность, недоимка; 3) зевать; зевота		Sino-Tibetan etymology	Dialectal data	76	4784	0624 a-b	kon	ken	ken;kon;akubi								
止	zhǐ	tǝʔ	tǝ́	tǝ́	ćǝ́	ćɨ́	ćɨ́	ćɨ́	ćɨ́	to stop, settle	1) остановить(ся); стой!, стоп!; стоячий ( о воде ); останавливаться ( на постой ); обитать, пребывать; 2) прекратить(ся), перестать; воздерживаться от...; 3) запретить, пресечь; бороться с...; 4) дойти до конца (предела); 5) вести себя; поведение; 6) только, вм. 只; 7) стопа, вм. 趾	In Early Zhou used also for a homonymous *tǝʔ 'hammer for a sounding box', as well as for the homonymous final particle *tǝʔ - which can be both enclytic and stressed (rhyming) (Schüssler writes about the non-enclytic one: "perhaps it marks the situation of the verb it follows as contemporaneous with the situation of the following verb: while, when, and") and is probably historically the same word as *tǝʔ 'to stop, settle'. The word may be somehow related to 遮 *tia 'to stop, prevent, intercept' (although the morphological derivation pattern is not quite clear) q. v., with further ST parallels.		Dialectal data	77	467	0961 a-f								14.1, 14.2, 14.3, 52.2_			
歹	dǎi										зло			Dialectal data	78	4168												
毋	wú móu	mǝ	mǝ	mǝ	mwǝ	miw	mǝw	mǝw	mü	injunctive-objective negative: should not, should not be expected to, absolutely don't	1) запретительное отрицание не надо, не смейте; 2) не, нет; не имеется; 3) У ( фамилия )	*mǝ is reconstructed because of the contraction 毋之 *mǝ-tǝ > 勿 *mǝt (MC  mü  is  secondary,  under the influence of 無 *ma). The reading *mǝ  (MC  mǝw, Pek.  móu) is, in fact, attested, but only in the compound .....mou-dui  'name of a kind of ritual cap' (LZ). Further etymology see under 無.			80	4776	0107 a								35.3	物扶 [a] 模侯 [b]	虞 [a] 尤 [b]	止之也. 從女. 有奸之首. 凡毋之屬皆從毋.
比	bǐ	pijʔ	píj	pjǝ́j	pjǝ́j	pjíj	pjíj	pjí	pjí	to compare	1) сравнивать; в сравнении с; уподобиться; сравнительный; относительный; 2) служебный глагол сравнения ; 3) жестом (примером) изобразить, показать ( размер, форму чего-л. ); аллегория; 4) мат. отношение; пропорциональность; 5) сокр. Бельгия; [bì] 1) близость; близкий; 2) прилегать; ближайший; последний; 3) до, вплоть до, вм. 到 в обстоятельствах времени ; 4) подряд, несколько в ряд; рядом	Also read: bì, MC pjì (FQ 必至), OC *pijʔ-s 'to put together, match, assemble; to join'.  Another reading is bǐ, MC pí, OC *prijʔ 'to be cooperative' (Sch.: perhaps 'be associating'); the MC reading, however, is not quite reliable - may be a misspelling instead of *pjí, OC *pijʔ. For the meaning 'to join' Sch. also gives a reading MC bjì (from Jingdian shiwen), which is somewhat  dubious. The regular Sino-Viet. reading is ti` / ty`; thus bì is either an earlier or a  later loanword.	Sino-Tibetan etymology	Dialectal data	81	6922	0566 g-h				bì				35.5			
毛	máo	mhāw	mhāw	mhāw	mhāw	mhāw	mhāw	mhāw	mâw	hair, fur	1) шерсть; волос; пух, перья; волоски ( растений ); ворс; волосатый; мохнатый; 2) незначительный, мелкий; 3) гривенник, 10 фэней; мелкая монета ( общее понятие ); 4) грубый; неотделанный; сырой; предварительный; 5) молодой, желторотый; 6) растеряться от страха; 7) вост. диал. приблизительно, примерно, около; 8) Мао ( фамилия )	Viet. mào is a colloquial loanword (with a modified meaning: 'comb, crest  (of bird)'); standard Sino-Viet. is mao. For OC *mh- cf. Meixian mau 1 , Yilan mo 1 . In EZ the word is also written as 旄 q.v. Also read *mhāw-s, MC mầw (FQ 莫報) id.	Sino-Tibetan etymology	Dialectal data	82	7204	1137 a-b				mào	ma7, -ma4	ma7, -ma5	mie7,-mie4				
氏	shì	g(h)eʔ	g(h)é	g(h)é	g(h)jé	g(h)jé	g(h)jé	g(h)jé	ʒ́é	a honorific suffixed to place names (e.g. fiefs), kinship terms, feudal and official titles.	1) род, фамилия; 2) девичья фамилия, урожденная; госпожа; я ( женщина о себе ); 3) господин; ученый; вельможа; 4) Ши ( фамилия ); [zhī] чжи ( название древних племен на западе Китая )				83	6685	0867 a-c								2.3, 28.4, 32.1, 32.2, 32.3			巴蜀名山岸脅之堆旁箸欲落墮者曰氏.氏崩聲聞數百里.象形.**聲.凡氏之屬皆從氏.楊雄賦.響若氏**. [628]
水	shuǐ	tujʔ	twǝ́j	twǝ́j	ćwǝ́j	ćwíj	ćwíj	ćwí	śwí	water, river	1) вода; водянистый; сок; сочный; жидкость; выделения; 2) воды; река; водный, речной; серебристый; 3) разница на курсе ( обычно при перерасчете на серебро ); приплата; доплата; отчисление, комиссия; 4) соблазнять; уговаривать добром; 5) сорт товара; 6) астр. Меркурий; 7) Шуй ( фамилия )	MC ś- is irregular; a clear indication of *t- is given by Min forms: Xiamen cui 3 , Chaozhou, Fuzhou cui 3 .	Sino-Tibetan etymology	Dialectal data	85	5501	0576 a-c					śui1	śui1	śui1	39.1, 43.1, 43.2, 57.4, 58.4			
火	huǒ	smǝ̄jʔ	m̥ǝ̄́j	m̥ǝ̄́j	m̥ǝ̄́j	hwǝ̄́j	hwǝ̄́j	hwǝ̄́j	xwấ	fire	1) огонь, пламя; зажигать огонь; 2) пожар; сжигать; 3) гнев, раздражение, пыл; 4) жар, лихорадка; воспаление; 5) срочный, экстренный; 6) группа, компания, ср. 夥; 7) Хо ( фамилия )		Sino-Tibetan etymology	Dialectal data	86	5452	0353 a-c				ho`a	xui1	xui1	fi1				
爪	zhǎo	ćrūʔ	crū́	c̣ǝ̄́w	c̣ǝ̄́w	c̣ǝ̣̄́w	c̣ạ̄́w	c̣ạ̄́w	c̣ạ́w	claw	1) коготь, когти; 2) лапы; [zhuǎ] см. 抓	Cf. PA *či̯ŭru ( ~ -a) 'to scratch, claw'.		Dialectal data	87	4863	1111 a-b					?ćui7	co3-					
父	fù	baʔ	bá	bá	bwá	bwó	bwó	bwó	bǘ	father, (relative of father's generation:) uncle	1) отец, батюшка, папаша; 2) старший родственник; [fǔ] 1) старый (почтенный) селянин; 2) второе имя, прозвище, см. 甫	In early inscriptions the character is sometimes also used instead of 甫 *paʔ (honorific suffix). For initial *b- cf. Min forms: Xiamen pe 6 , Chaozhou pe 4 .	Sino-Tibetan etymology	Dialectal data	0	0	0102 a-e							-bo1	2.3, 10.3, 29.4, 39.2, 51.1, 51.2			巨也.家長率教者.從又.舉杖.
爻	yáo	g(h)rāw	g(h)rāw	grāw (~ ɣ-)	grāw (~ ɣ-)	gạ̄w (~ ɣ-)	gạ̄w (~ ɣ-)	gạ̄w (~ ɣ-)	ɣạw	change [LZ]	1) черта в триграмме ( Ицзина ); 2) копировать, подражать	Mod. yao is irregular; there is also a regular reading xiáo.			89	6393	1167 a-c											
片	piàn	phēns	phēnh	phjānh	phiānh	phiḕn	phiḕn	phiḕn	phìen	partial, one-sided [LZ]	1) дощечка; щепка; стружка; пластинка; полоска; ломтик; 2) карточка, открытка; визитная карточка; 3) лепесток; часть; отрывок; кусочек; 4) счетный суффикс ; [piān] 1) фильм, кинокартина; 2) граммофонная пластинка	Also read *phān-s, MC phwần, Pek. pàn "one half, one of two parts" (LZ)	Sino-Tibetan etymology	Dialectal data	91	2798	0218 a											
牙	yá	ŋrā	ŋrā	ŋrā	ŋrǟ	ŋạ̄	ŋạ̄	ŋạ̄	ŋạ	tooth, tusk, (ivory)	1) зуб, клык; вцепиться зубами; зубчатый; 2) слоновая кость; 3) посредник, комиссионер; маклер; 4) стар. невысокие военные должности; 5) умный, понятливый; 6) Я ( фамилия )	Standard Sino-Viet. is nha. For *ŋ- cf. Xiamen, Chaozhou ge 2 , Fuzhou, Jianou ŋa 2 .	Sino-Tibetan etymology	Dialectal data	92	3251	0037 a-b				ngà				17.3			
牛	niú	ŋuǝ	ŋwǝ	ŋwǝ	ŋwǝ	ŋiw	ŋǝw	ŋǝw	ŋǝw	bovine, cattle, cow, ox	1) бык, вол, корова; 2) созвездие Тельца; 3) Ню ( фамилия )	For *ŋ- cf. Xiamen, Chaozhou gu 2 , Fuzhou ŋu 2 , Jianou niu 2 .	Sino-Tibetan etymology	Dialectal data	93	2469					n'u	ŋɨ7	ŋɨ7	ŋɨ7		宜求	尤	大牲也. 牛件也. 件事理也. 象角頭三封尾之形. 凡牛之屬皆從牛.
犬	quǎn	khʷīnʔ	khwī́n	khwjǝ̄́n	khwiǝ̄́n	khwiḗn	khwiḗn	khwiḗn	khwíen	dog	собака, пес; собачий; по-собачьи; вежл. мой ( о детях )		Sino-Tibetan etymology	Dialectal data	94	4947	0479 a-d				khuyê`n	khuã1	khua1	qhõ1		去選	銑	狗之有縣蹄者也. 象形. 孔子曰. 視犬之字. 如畫狗也. 凡犬之屬皆從犬.
王	wáng wàng [wǎng] [yù]	whaŋ whaŋs	whaŋ	whaŋ	whaŋ	whaŋ	whaŋ	whaŋ	waŋ wàŋ	king	1) князь, царь; король; королевский; 2) совершенный правитель; 3) Ван ( фамилия ); [wàng] 1) княжить, править; 2) см. 旺; [yù] см. 玉	Also read *whaŋ-s, MC wàŋ 'be king over, govern'. Standard Sino-Viet. is vu'o'ng. For *wh- cf. Chaozhou heŋ2.	Sino-Tibetan etymology	Dialectal data	96	312	0739 a-h				vua				10.3, 24.1, 24.2, 24.3, 40.2, 40.3	余狂 [a] 喻貺 [b]	陽 [a] 漾 [b] 養 [c] 沃 [d]	天下所歸往也. 董仲舒曰. 古之造文者. 三畫而連其中謂之王. 三者. 天地人也. 而參通之者王也. 孔子曰. 一貫三為王. 凡王之屬皆從王.
丙	bǐng	praŋʔ	práŋ	práŋ	préŋ	péŋ	péŋ	péŋ	pä́iŋ	the 3d of the Heavenly Stems	1) третий из 10 циклических знаков; третий; литер "В"; 2) пожар; огонь; 3) хвост рыбы; 4) Бин ( фамилия )			Dialectal data	1	3950	0757 a-f	hiyau	hei	hei;hinoe;akiraka						彼影	梗	位南方. 萬物成炳. 然陰气將虧. 從一入冂. 一者. 陽也. 丙承乙. 象人肩. 凡丙之屬皆從丙.
世	shì	slats (< *-ps)	l̥ać	l̥aś	śaś	śeś	śèj	śèj	śèj	generation, epoch, age	1) мир; мировой, всемирный; человечество; 2) век; вся жизнь; эпоха, период; годы; 3) 30 лет; поколение; одного поколения; современный; современники; из поколения в поколение; старинный, традиционный; 4) старший (в роде); наследственный; 5) светский; вульгарный; 6) 31-е число ( в телеграммах ); 7) Ши ( фамилия )			Dialectal data	1	838	0339 a-c				thế							
丕	pī	phrǝ	phrǝ	phrǝ	phrǝ	phɨ	phij	phi	phi	be too much, overbearing; very, very much, great, grand	1) огромный, большой; великий; 2) сокр. пезета		Sino-Tibetan etymology		1	72												
且	qiě	ćhiaʔ	chiá	chiá	chjä́	chjá	chjá	chjá	chjá	moreover, furthermore, in addition, as well as, and	1) пока, покамест; еще, все еще; 2) или же, либо же; 3) в будущем, в дальнейшем; вот-вот, см. 將; 4) союз, связывающий сказуемые-прилагательные и сказуемые-глаголы и; 5) начальный грамматический знак в вэньяне к тому же; пока положим, что..., а теперь...; 6) выдерживать; стойкий ( в употреблении , носке и т. п. ); [ju] древн. частица в конце предложения	Other readings: *ćha (MC chjö, Pek. qū) 'obstruct'; *ća (MC cjö, Pek. jū) 'final particle; plenty, many' (thus in Shi 41,1).	Sino-Tibetan etymology	Dialectal data	1	595	0046 a-g								28.4, 30.1, 40.1, 41.1_, 41.2_, 41.3_, 42.3, 47.2, 54.3			
丘	qīu	khʷǝ	khwǝ	khǝw	khǝw	khiw	khǝw	khǝw	khǝw	hill			Sino-Tibetan etymology	Dialectal data	0	0									37.1, 54.3, 58.1_			
主	zhǔ	toʔ	tó	twá	ćwá	ćwó	ćwó	ćwó	ćǘ	person in charge, master	1) хозяин; глава семьи; владелец; 2) владыка, государь, царь; начальник; 3) бог, божество; христ. господь; 4) место таблички с именем покойника; 5) субъект; собственный, свой; 6) важный, главный, основной; возглавлять; 7) стоять за, высказываться в пользу ( чего-л. ); 8) считать главным; 9) предвещать	A more archaic loan in Viet. is chúa 'lord, prince' (cf. the Eastern Han  Chinese form *ćwaʔ).	Sino-Tibetan etymology	Dialectal data	3	354	0129 a	su	siyu	shu;nushi;omo;aruji	chu`	-cɨ1-	-cɨ1-	-ṭɨ1-				
乍	zhà	ʒ́(h)rāks	ʒ(h)rāh	ʒ̣(h)āh	ʒ̣(h)āh	ʒ̣(h)ọ̄̀	ʒ̣(h)ọ̄̀	ʒ̣(h)ọ̄̀	ʒ̣ạ̀	suddenly; finally [L.Zhou]	1) внезапно, вдруг; невзначай; 2) впервые; только что; 3) собраться ( с духом ), набраться ( храбрости )			Dialectal data	4	2025	0806 a-e	ziya	sa	ja;sa;tachimachi;nagara								
乏	fá	b(h)rap	b(h)rap	b(h)rap	b(h)rap	b(h)ap	b(h)ap	b(h)ap	bwɨp	poor, emaciated [L.Zhou]	1) нехватать, недоставать; недостаток, нехватка, отсутствие; 2) бедный; нуждающийся; 3) усталый, изнуренный; утомляться, уставать; 4) непригодный; бесталанный; бесполезный; 5) приводить в негодность; запускать; 6) аннулировать		Sino-Tibetan etymology	Dialectal data	4	6441		bofu	hafu	bō;toboshii								
乎	hū	wā	wā	wā	wā	wō	wō	wō	ɣo	in, on, with regard to	1) вопросительная частица в вэньяне, соответствующая разговорному 嗎; 2) конечная частица, подчеркивающая утверждение, вопрос, восклицание, соответствует разговорному 呢, 哪; 3) междометие ; 4) предлог, вм. 於 в на, от, к	Obviously related to 于 *wa q.v. Also used for homonymous *wā 'postvb. interrogative particle', as well as for  the  interjection  *wā (in bisyllabic exclamations; in this  meaning  also written as 虖).			4	3244	0055 a-g	o, go	ko	go;ko;ka;ya					25.1, 25.2, 36.1, 36.2, 48.1, 48.2, 48.3			
以	yǐ	lǝʔ	lǝ́	lǝ́	źǝ́	źɨ́	jɨ́	jɨ́	jɨ́	to take, use, employ	1) а) его; это; им; этим; ему; этому; вводит прямой или инструментальный объект ( перед сказуемым или после дополнения ), переводимый винительным, творительным или дательным падежами ; б) входит в состав многих глаголов, указывая на непосредственное положение после них прямого дополнения ( вместо обычного для них дательного ); 2) происходить из-за...; так как; вследствие того, что...; из-за; по той причине, что...; на том основании, что...; судя по...; по; согласно с...; в зависимости от...; вводит обстоятельство ( причину, основание, мотивировку ) перед подлежащим предложения или между подлежащим и сказуемым ; 3) а) чтобы этим, чтобы таким образом; чтобы; и этим, и таким образом; так что; вводит обстоятельство цели или результата после прямого дополнения ( или сказуемого ) предложения ; б) входит в состав модальных слов, ср. 可以; в) входит в состав сложных целевых союзов ; 4) а) входит в состав концовок обстоятельственных конструкций места и времени в случае, если граница времени или места фиксирована лишь с одной стороны ; б) образует ряд наречий места и времени с таким же значением ; 5) древн. причина, повод; основание; 6) древн. держаться; практиковать; использовать; 7) древн. считать, полагать, думать; 8) древн. распространяться; 9) древн. делать, поступать; 10) древн. и, с; вместе с...; 11) древн. и конец, и все; уже, вм. 已; 12) И ( фамилия )	For *l- cf. Min forms: Xiamen, Chaozhou, Fuzhou i3.	Sino-Tibetan etymology	Dialectal data	9	7806		i	i	i;mochiiru;motte;omou;yue;yori	dĩ				3.2, 3.3, 13.1, 13.2, 15. 1, 15.2, 15.3, 17.2, 17.3, 22.1_, 26.1, 26.2, 27.4, 28.2, 28.4, 31.2, 31.3, 35.1, 35.3_, 35.5, 35.6, 37.2_, 39.4, 42.3, 49.1, 49.2, 50.1, 50.2, 53.1, 53.2, 53.3, 57.3, 58.1, 58.2			用也.從反巳.賈侍中說.已意巳實也.象形. [746]
付	fù	po(ʔ)s	poh	poh	poh	pò	pò	pò	pǜ	to hand over, give	1) передавать, вручать; предавать ( напр. забвению ); доверять; 2) платить, выплачивать; 3) отправлять, посылать; 4) сокр. вм. 副			Dialectal data	9	3121	0136 a-b											
仔	zī	cǝ	cǝ	cǝ	cjǝ	cjɨ	cjɨ	cjɨ	cjɨ	burden	нести бремя; нести обязанности; ответственный; [zǐ] сын; молодняк ( животных ); [zǎi] кант. диал. маленький; молодняк ( животных )	Also read MC cjɨ́, OC *cǝʔ id.			9	3039	0964 k											
仕	shì	ʒ́(h)rǝʔ	ʒ(h)rǝ́	ʒ̣(h)ǝ́	ʒ̣(h)ǝ́	ʒ̣(h)ɨ́	ʒ̣(h)ɨ́	ʒ̣(h)ɨ́	ʒ̣ɨ́	to take office, give office; serve	служить ( на государственной службе ); служба; служебная карьера; продвижение по службе	Same word as 士 *ʒ́(h)rǝʔ q.v.; related to 事 *ʒ́(h)rǝʔ-s q.v.	Sino-Tibetan etymology		9	139	0970 d											
他	tā	slāj	l̥āj	l̥āj	l̥ǟ	thā	thā	thā	thâ	other, different	он, она, оно; [tā tuō] 1) другой, иной; чужой, посторонний; 2) в другое место; в другом месте		Sino-Tibetan etymology	Dialectal data	9	7257	0004 |c ́							lɨ3 (這)	45.1_			
仗	zhàng										1) опираться, полагаться ( на что-л. ); 2) оружие ( общее понятие ); сражаться; 3) схватить, держать			Dialectal data	30	6417												
代	dài	Ł(h)ǝ̄ks	Ł(h)ǝ̄h	lǝ̄h (~ Łh-)	l(h)ǝ̄h	d(h)ǝ̄̀	d(h)ǝ̄̀	d(h)ǝ̄̀j	dʌ̀j	to substitute, take place of, supercede	1) заменять, замещать; замена; взамен ( кого-л. ); за; для; 2) быть представителем; представитель, агент; от имени; 3) сменяться; смена, поколение; 4) эпоха; эра; династия; 5) Дай ( фамилия )	Also used for 'generation' ( < 'superceding'). Probable loans from the  same source are Viet. d_ô`i 'to change, to exchange, to alter'; Viet. d_ò'i  'life, existence; generation'.		Dialectal data	9	6717	0918 i-j				d_ại							
令	líng	riŋ	reŋ	reŋ	reŋ	leŋ	leŋ	leŋ	leŋ	be fine, good; to cause		Also read *rīŋ, MC lieŋ (FQ 郎丁) id.; *riŋ-s, MC lèŋ (FQ 力政), Pek. lìng, Viet. lịnh 'to order, command'. Regular Sino-Viet. is linh. For *r- cf. MC lèŋ > Xiamen liŋ 6 , Chaozhou leŋ 4 , Fuzhou leŋ 6 , Jianou liaŋ 6 , lɛiŋ 6 .	Sino-Tibetan etymology	Dialectal data	0	0	0823 a-e				lành				32.2			
仙	xiān	san	san	san	sjan	sjen	sjen	sjen	sjen	immortal [LZ]	1) даосский отшельник; святой; 2) транскр. цент ( американский )		Sino-Tibetan etymology	Dialectal data	9	977	0193 f				tiên							
仞	rèn	n(h)ǝrs	n(h)ǝnh	n(h)ǝnh	ń(h)ǝnh	ń(h)ìn	ń(h)ìn	ń(h)ìn	ńìn	a measure; to measure [LZ]	1) древн. жэнь ( мера длины в 8 чи ); 2) наполнять; полный				9	4209	0456 b											
充	chōng	thuŋ	thuŋ	thǝuŋ	ćhǝuŋ	ćhɨuŋ	ćhuŋ	ćhuŋ	ćhüŋ	to fill, full	1) полный, переполненный; переполняться; наполнять; 2) быть назначенным [на должность]; служить, находиться на должности, выполнять обязанности (функции); 3) подделывать; заменять одно другим; притворяться, казаться, выдавать себя за...; выступать под видом ( в качестве ); 4) быть сосланным ( на каторгу ); отбывать наказание; 5) Чун ( фамилия )			Dialectal data	10	7513	1011 a								37.4, 55.2			
兄	xiōng	smraŋ	m̥raŋ	m̥raŋ	m̥reŋ	hweŋ	hweŋ	hweŋ	xwäiŋ	elder brother	1) старший брат; старший; 2) вежл. уважаемый друг ( в обращении к сверстникам )		Sino-Tibetan etymology	Dialectal data	10	7372	0765 a-e				huynh				26.2, 35.2, 39.2, 49.1_, 51.1, 51.2, 58.5			
冉	rǎn	n(h)amʔ	n(h)ám	n(h)ám	ń(h)ám	ń(h)ém	ń(h)ém	ń(h)ém	ńém	advance, go gradually [LZ]	Жань ( фамилия ); 冉冉 надвигаться, приближаться ( напр. о старости ); постепенно, незаметно				13	4020	0622 a-d											
冊	cè	ćhrēk	chrēk	c̣hēk	c̣hiēk	c̣hiẹ̄k	c̣hiẹ̄k	c̣hiẹ̄k	c̣hạ̈ik	to record, write down	1) книга; том; реестр, папка; 2) ист. патент на должность; свидетельство на титул			Dialectal data	12	4007	0845 a-f				sách							
冬	dōng	tūŋ	tūŋ	tǝ̄uŋ	tǝ̄uŋ	tǝ̄uŋ	tǝ̄uŋ	tōŋ	toŋ	winter	1) зима; зимний; зимой; 2) 2-е число ( в телеграммах )		Sino-Tibetan etymology	Dialectal data	14	8873					d_ông	tü̃4-	tü5-		35.6_			
凹	āo	ʔrāw (~ ʔrēw, ~ ʔrū, ~ ʔrīw)	ʔrāw	ʔrāw	ʔrāw	ʔạ̄w	ʔạ̄w	ʔạ̄w	ʔạw	hollow, concave	впадина, углубление, выемка, ухаб; яма; дупло; вогнутый, вдавленный; впалый	Attested since Jin/Liang, thus the OC final is not clear. Also read *ʔrǝ̄p (~ʔrēp, ʔrīp), MC ʔạ̈p (FQ 烏洽) id. The latter is the basic fanqie of Guangyun; the reading MC ʔạw is given in Jiyun.			17	1942												
出	chū	thut	thwǝt	thwǝt	ćhwǝt	ćhwit	ćhwit	ćhwit	ćhwit	to come out, go out, go away	1) выходить; вылезать; происходить из...; выходить; выход; 2) выдавать; выпускать, издавать; вывозить; экспорт; 3) производить, рождать; 4) выдаваться из...; превосходить; 5) выйти из...; прекратить, перестать; 6) превысить, превзойти ( напр. лимит ); 7) израсходовать; расход; 8) вне, снаружи; [-chu] [-chū] глагольный суффикс, указывающий, что действие направлено наружу	Also read *thut-s, MC ćhwì (FQ 尺�) 'to bring out, send out, hand out'.	Sino-Tibetan etymology	Dialectal data	17	1008	0496 a-e				xuất	-ćhi6	-śi6	čher6	29.3, 29.4_, 39.2, 39.3, 39.4, 40.1			
凸	tú										выпуклый; выдаваться; выпячиваться; кочка, бугор; горбина, насыпь				17	1943												
刊	kān	khān	khān	khān	khān	khān	khān	khān	khân	to cut down	1) гравировать, резать; 2) печатать; издавать журнал; выпуск, издание; 3) подчищать, стирать, соскребать; уничтожать; 4) рубить ( напр. деревья )			Dialectal data	18	2863	0139 n-o											
加	jiā	krāj	krāj	krāj	krǟ	kạ̄	kạ̄	kạ̄	kạ	to add, attach, hit	1) прибавлять ( кому-либо что-л. ); додавать, увеличивать; складывать; плюс; сложение, в дополнение; 2) превышать, превосходить; быть больше на...; превозмочь; 3) жаловать, повышать; 4) присоединяться к...			Dialectal data	19	1071	0015 a-b				gia							
功	gōng	kōŋ	kōŋ	kōŋ	kōŋ	kōŋ	kōŋ	kwōŋ	kuŋ	work, effort; achievement; merit	1) заслуга, подвиг; доблесть; достоинство; отличник; искусный, тонкий; 2) дело; страда; труд, занятие, работа; 3) результат, эффект; достижение, успех; 4) прилежание; заниматься, трудиться; 5) древн. траурный; траур			Dialectal data	19	4672	1172 d											
