Character	Number	Chinese etymology	MC description	ZIHUI	Beijing	Jinan	Xi'an	Taiyuan	Hankou	Chengdu	Yangzhou	Suzhou	Wenzhou	Changsha	Shuangfeng	Nanchang	Meixian	Guangzhou	Xiamen	Chaozhou	Fuzhou	Shanghai	Zhongyuan yinyun
刃	28	Chinese etymology	臻開三去震日	0432 2086	ẓǝn 3	ẓẽ 3	ẓẽ 3	zǝn 3	nǝn 2	zǝn 3	lǝn 2	zǝn 32	zaŋ 32	ẓǝn 31	in 2	lǝn 2	jim 3	jan 32	ʒim 32	zim 21	eiŋ 32	zǝŋ 32	žiǝn 3
勺	29	Chinese etymology	宕開三入藥襌	0541 1375	ṣau 12	ṣɔ 12	fo 12	sau 1	so 12	sau 12; so 12	sâʔ 4	zoʔ 42	ɦia 42	so 4	śiû 31	sɔk 41	sɔk 42	čö_k 43	ciɔk 42 (lit.); siaʔ 42	sieʔ 42	chyɔʔ 42	zoʔ 42	šiau 41
千	30	Chinese etymology	山開四平先清	0578 1861	ćhian 11	ćhiã 11	ćhiã 11	ćhiɛ 1	ćhian 11	ćhian 11	ćhî̃ 11	chî 11	ćhi 11	chiẽ 11	ćhî̃ 11	ćhiɛn 11	chiɛn 11	čhin 11	chian 11	koĩ 31	chieŋ 11	chî 1	chien 1
叉	31	Chinese etymology	假開二平麻初	0643 0062	c̣ha 11	c̣ha 11	cha 11	cha 1	cha 11	cha 11	chai 11	cho 11	cho 11	cha 11	cho 11	cha 11	cha 11	čha 11	cha 11 (lit.); che 11	che 11	cha 11	cho 1	čha 1
口	32	Chinese etymology	流開一上厚溪	0656 1558	khou 2	khou 2	khou 2	khou 2	khou 2	khǝu 2	khôɨ 2	khöy 2	khǝu 21	khôu 2	khie 2	khiɛu 2	khɛu 2	hau 21	khɔ 2  (lit.); khau 2	khau 21	keu 2  (lit.); khau 2	khôɨ 3	khou 2
土	33	Chinese etymology	遇合一上姥透	0960 0813	thu 2	thu 2	thou 2	thu 2	thou 2	thu 2	thu 2	thǝu 2	tho_y 21	thu 2	thǝu 2	thu 2	thu 2	thou 21	thɔ 2	thou 21	thu 2  (lit.); thu 12	thu 3	thu 2
士	34	Chinese etymology	止開三上止崇	1102 0513	ṣî_ 3	ṣî_ 3	si_ 3	si_ 3	si_ 3	si_ 3	si_ 3	zi_ 32	zi_ 22	si_ 31	ʒi_ 32	chi_ 32	si_ 3	ši 32	su 32	si_ 22	söy 32	zi_ 32	ši_ 3
大	35	Chinese etymology	果開一去箇定	2192 0035	ta 3	ta 3	ta 3	ta 3	ta 3	ta 3	tai 3	da_ 32 (lit.); dǝu 32	da 32	ta 31 (lit.); tai 32	da 32	thai 32	thai 3	tai 32	tai 32 (lit.); tua 32	tai 22	tai 32	tou 32	ta 3
女	36	Chinese etymology	遇合三上語泥	1166 0952	ny 2	ńy 2	ńy 2	ny 2	y 2; ny 2	ńy 2	ny 2	ńy 32	ńy 22	ńy 2	ńy 2	ńy 2	ńi 2  (lit.); ŋ 2	nö_y 22	lu 2	nɨŋ 21	ny 2	ńy 32	niu 2
子	37	Chinese etymology	止開三上止精	1311 0411	ci_ 2	ci_ 2	ci_ 2	ci_ 2	ci_ 2	ci_ 2	ci_ 2	ci_ 2	ci_ 21	ci_ 2	ci_ 2	ci_ 2	ci_ 2	či 21	cu 2  (lit.); ci 2; ʒi 2; kiã 2	ci_ 21	cy 2	ci_ 3	ci_ 2
